,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime
246,A Family Man,Gerard Butler, Gretchen Mol, Maxwell Jenkins, Willem Dafoe,Drama, Action,unknown,2016.0,6.7,Bosede Williams,108.0
247,Duckman: Private Dick/Family Man,Jason Alexander, Gregg Berger, Nancy Travis,unknown,Animation, Adventure, Comedy,1994.0,7.7,unknown,30.0
251,Happy Days,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
254,Those Happy Days,Jean-Paul Rouve, Marilou Berry, Omar Sy, Lannick Gautry,Comedy, Family,unknown,2006.0,7.4,Olivier Nakache,103.0
258,King of Kotha,Dulquer Salmaan, Aishwarya Lekshmi, Shabeer Kallarakkal, Prasanna,Action, Drama, Crime,2023.0,7.0,Abhilash Joshiy,176.0
259,Kotha Kothaga,Ajay Aman, Virti Vaghani, Pavan Tej Konidela, Lavanya Reddy,Romance, Family, Drama,2022.0,0.0,Hanumaan Vasamsetty,120.0
260,Kotha Bangaru Lokam,Varun Sandesh, Shweta Basu Prasad, Prakash Raj, Jayasudha,Family, Drama, Romance,2008.0,6.3,Srikanth Addala,157.0
266,Chirutha,Ram Charan, Neha Sharma, Brahmanandam, Prakash Raj,Action, Romance,unknown,2007.0,3.8,Puri Jagannath,144.0
268,Miruthan,Jayam Ravi, Lakshmi Menon, Anikha Surendran, Kaali Venkat,Action, Romance, Thriller,2016.0,5.7,Shakti Soundar Rajan,106.0
271,Businessman,Mahesh Babu, Kajal Agarwal, Prakash Raj, Ayesha Shiva,Action, Crime,unknown,2012.0,6.7,Puri Jagannath,133.0
272,The Businessman,Jeff Knite, Mike Benz, Havoc, T.S.,Thriller,unknown,unknown,2014.0,7.1,Ivan Baltos,60.0
276,Seethamma Vakitlo Sirimalle Chettu,Venkatesh, Mahesh Babu, Anjali, Samantha Ruth Prabhu,Family, Drama, Comedy,2013.0,5.9,Vinod Lingala,159.0
277,Bharat Ane Nenu,Mahesh Babu, Kiara Advani, Prakash Raj, R. Sarathkumar,Drama, Action, Thriller,2018.0,6.6,Koratala Siva,173.0
280,The Mahabharata,Vittorio Mezzogiorno, Bruce Myers, Miriam Goldschmidt, Robert Langdon Lloyd,Drama, War,unknown,1990.0,7.0,Peter Brook,318.0
282,Bro Daddy,Mohanlal, Prithviraj Sukumaran, Kalyani Priyadarshan, Meena,Family, Drama, Comedy,2022.0,6.583,Prithviraj Sukumaran,159.0
289,Hridayam,Pranav Mohanlal, Darshana Rajendran, Kalyani Priyadarshan, Aswath Lal,Romance, Drama,unknown,2022.0,6.8,Vineeth Sreenivasan,172.0
291,Hidayah,Ajil Ditto, Givina Lukita, Fanny Ghassani, Alif Joerg,Horror,unknown,unknown,2023.0,6.0,Monty Tiwa,92.0
296,Friday After Next,Ice Cube, Mike Epps, John Witherspoon, K.D. Aubert,Comedy, Action, Drama,2002.0,6.3,Marcus Raboy,85.0
297,"Hello, Dolly!",Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew,Comedy, Romance, Music,1969.0,6.925,Gene Kelly,149.0
299,Hello Ladies,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
300,Hello Mary Lou: Prom Night II,Michael Ironside, Wendy Lyon, Louis Ferreira, Lisa Schrage,Horror, Thriller,unknown,1987.0,5.8,Bruce Pittman,97.0
302,"Hello, Goodbye, and Everything in Between",Talia Ryder, Jordan Fisher, Ayo Edebiri, Nico Hiraga,Romance, Drama, Comedy,2022.0,6.222,Mellanie Siteman,83.0
303,Hello Again,Shelley Long, Judith Ivey, Gabriel Byrne, Corbin Bernsen,Fantasy, Drama, Comedy,1987.0,5.7,Frank Perry,96.0
304,Hello I Must Be Going,Melanie Lynskey, Blythe Danner, John Rubinstein, Sara Chase,Drama, Comedy, Romance,2012.0,6.0,Todd Louiso,95.0
305,Ye Maaya Chesave,Naga Chaitanya Akkineni, Samantha Ruth Prabhu, Krishnudu, Sapan Saran,Romance, Drama,unknown,2010.0,6.6,Gautham Vasudev Menon,162.0
308,Maaya,Nandini Rai, Harshvardhan Rane, Avantika Mishra, Sushma Raj,Thriller,unknown,unknown,2021.0,6.0,G. Neelakanta Reddy,47.0
310,Maaya,Nandini Rai, Harshvardhan Rane, Avantika Mishra, Sushma Raj,Thriller,unknown,unknown,2014.0,6.0,G. Neelakanta Reddy,120.0
312,Ishq,Aamir Khan, Ajay Devgn, Juhi Chawla, Kajol,Action, Comedy, Drama,1997.0,6.6,Indra Kumar,161.0
313,Ishq,Shane Nigam, Ann Sheetal, Shine Tom Chacko, Maala Parvathi,Thriller, Romance, Action,2019.0,5.3,Anuraj Manohar,134.0
314,Ishq,Nithiin, Nithya Menen, Nagineedu Vellanki, Ajay,Romance, Comedy,unknown,2012.0,6.1,Vikram Kumar,160.0
316,Ishq Express,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
317,Ishq Vishk,Shahid Kapoor, Amrita Rao, Shenaz Treasury, Yash Tonk,Drama, Comedy, Romance,2003.0,5.7,Ken Ghosh,145.0
318,Kambakkht Ishq,Akshay Kumar, Kareena Kapoor Khan, Sylvester Stallone, Whoopi Goldberg,Comedy, Drama, Romance,2009.0,3.9,Sabbir Khan,142.0
323,The Lady from Shanghai,Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders,Crime, Drama, Mystery,1947.0,7.4,Orson Welles,87.0
324,Aata,Siddharth, Ileana D'Cruz, Sarath Babu, Brahmanandam,Romance, Comedy, Drama,2007.0,3.8,V. N. Aditya,138.0
325,It’s Time To Go!,Dilip Prabhavalkar, Rohini Hattangadi, Bhagyashree Limaye, Shivraj Waichal,Drama,unknown,unknown,2021.0,0.0,Ananth Narayan Mahadevan,90.0
329,What makes Albert Pinto angry?,Manav Kaul, Nandita Das, Saurabh Shukla, Kishore Kadam,Crime, Drama,unknown,2019.0,4.5,Soumitra Ranade,94.0
331,Aata Pita,Bharat Jadhav, Ashwini Apte, Sanjay Narvekar, Satish Phulekar,Comedy, Drama,unknown,2010.0,6.0,Uttong Shelar,125.0
333,Malli Malli Idhi Rani Roju,Sharwanand, Nithya Menen, Pavitra Lokesh, Pavani Gangireddy,Romance, Drama, Comedy,2015.0,6.8,Kranthi Madhav,139.0
334,Anukokunda Oka Roju,Charmy Kaur, Jagapati Babu, Shashank, Harshavardhan,Thriller, Mystery, Action,2005.0,5.773,Chandra Sekhar Yeleti,145.0
336,Bhale Manchi Roju,Sudheer Babu, Wamiqa Gabbi, Dhanya Balakrishna, Chaitanya Krishna,Comedy, Drama, Crime,2015.0,8.0,Sriram Adittya,90.0
339,Malli Pelli,Naresh, Pavitra Lokesh, Jayasudha, Sarath Babu,Family, Drama, Comedy,2023.0,8.0,Lucky Bezawada,131.0
344,Richie Gadi Pelli,S. K. Sathya, Chandana Raj, Naveen Neni, Praneeta Patnaik,Comedy, Drama,unknown,2023.0,0.0,K. S. Hemraj,114.0
347,Meet the Parents,Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner,Comedy, Romance, Action,2000.0,6.678,Jay Roach,108.0
352,Bamma Maata Bangaru Baata,Bhanumathi, Rajendra Prasad, Gautami Tadimalla, Nutan Prasad,Comedy, Drama,unknown,1989.0,7.0,Rajashekar,148.0
354,Avengers: Endgame,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Adventure, Sci-Fi, Action,2019.0,8.257,Anthony Russo,181.0
355,The Avengers,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,Sci-Fi, Action, Adventure,2012.0,7.713,Brian Relyea,143.0
356,Avengers: Infinity War,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,Adventure, Action, Sci-Fi,2018.0,8.251,Alexander Witt,149.0
357,Avengers: Age of Ultron,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,Action, Adventure, Sci-Fi,2015.0,7.273,Paula Casarin,141.0
358,The Avengers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
359,Avengers Assemble,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.0,0.0,unknown,unknown
360,The Batman,Robert Pattinson, Zoë Kravitz, Paul Dano, Jeffrey Wright,Crime, Mystery, Thriller,2022.0,7.694,Emily Thomas,177.0
361,Batman,Michael Keaton, Jack Nicholson, Kim Basinger, Michael Gough,Fantasy, Action, Crime,1989.0,7.227,Tim Burton,126.0
